省份, 地区生产总值
广东, 110760.94
江苏, 102719
山东, 73129
浙江, 64613
河南, 54997.07
四川, 48598.8
福建, 43903.89
湖北, 43443.46
湖南, 41781.49
上海, 38700.58
安徽, 38680.6
河北, 36206.9
北京, 36102.6
陕西, 26181.36
江西, 25691.5
辽宁, 25115 
重庆, 25002.79 
云南, 24500 
广西, 22156.69 
贵州, 17826.56 
山西, 17651.93 
内蒙古, 17360 
天津, 14083.73 
新疆, 13797.58 
黑龙江, 13698.5 
吉林, 12311.32 
甘肃, 9016.7 
海南, 5532.39 
宁夏, 3920.55 
青海, 3005.92 
西藏, 1902.74 
